year,municipality,population
2011,465,28986
2011,466,47625
2011,467,406461
2011,468,81220
2011,469,112597
2011,470,128704
2011,471,60324
2011,472,335784
2011,473,47772
2011,474,51056
2011,475,160532
2011,477,120520
2011,478,149108
2011,479,57876
2011,499,747431
2011,503,160975
2011,504,96556
2011,505,52540
2011,506,256135
2011,560,77403
2011,561,78875
2011,562,106374
2011,563,92710
2011,564,38103
2011,565,33105
2011,566,618536
2011,567,63142
2011,568,65793
2011,514,237437
2011,569,103116
2011,570,83153
2011,571,132068
2011,573,113073
2011,582,156736
2011,583,186502
2011,584,35258
2011,585,71925
2011,586,175425
2011,538,334459
2011,542,114416
2011,587,122889
2011,588,74336
2011,589,213601
2011,590,47818
2011,594,100548
2011,595,12898
2011,596,65981
2011,597,101691
2011,598,180302
2011,574,64862
2011,575,165307
2011,576,177577
2011,577,103093
2011,524,363236
2011,525,34442
2011,526,102161
2011,529,211060
2011,578,82053
2011,579,127238
2011,580,194908
2011,581,188317
2011,546,96724
2011,591,138078
2011,592,231187
2011,593,140820
2011,599,3442361
2011,660,186947
2011,661,477381
2011,662,549575
2011,663,51049
2011,664,242554
2011,665,107339
2011,666,124218
2011,667,291527
2011,668,168902
2011,669,150713
2011,670,66781
2011,671,60355
2011,672,177642
2011,673,53248
2011,674,105789
2011,675,56702
2011,676,162762
2011,677,398676
2011,678,77794
2011,760,721663
2011,761,95301
2011,762,99520
2011,763,362422
2011,764,149286
2011,765,111767
2011,766,197520
2011,797,3178470
2011,798,4434827
2011,799,2921488
2011,860,186010
2011,861,149377
2011,862,171982
2011,863,83235
2011,864,115662
2011,865,42390
2011,866,294538
2011,867,75452
2011,868,395466
2011,869,229831
2011,870,47216
2011,871,310458
2011,872,249705
2011,873,98387
2011,874,588794
2011,875,67156
2011,876,393030
2011,877,541248
2011,960,244217
2011,961,212701
2011,962,390095
2011,963,150637
2011,964,94857
2011,965,91870
2011,966,618462
2011,967,68359
2011,968,516031
2011,969,162629
2011,970,131164
2011,973,108321
2011,974,628999
2011,976,230350
2011,977,85234
2011,978,115767
2011,979,35640
2011,980,68513
2011,981,66500
2011,982,307682
2011,983,123648
2011,984,249363
2011,985,274358
2011,986,93795
2011,987,335676
2016,160,71045
2016,161,52949
2016,162,67474
2016,163,111173
2016,164,133762
2016,165,130548
2016,166,280195
2016,167,173420
2016,168,176578
2016,169,105483
2016,170,40211
2016,171,117109
2016,172,93466
2016,173,36000
2016,174,24168
2016,175,54237
2016,176,94135
2016,177,208237
2016,178,97509
2016,179,59157
2016,180,73835
2016,181,8895
2016,182,14272
2016,183,51080
2016,199,4004793
2016,261,53441
2016,262,36063
2016,263,10625
2016,264,82060
2016,265,63180
2016,266,59793
2016,267,18131
2016,268,112941
2016,269,43688
2016,270,270068
2016,271,254013
2016,272,39476
2016,273,122548
2016,274,69200
2016,276,134058
2016,277,25458
2016,278,70493
2016,279,35065
2016,280,24087
2016,281,204111
2016,282,146341
2016,283,122691
2016,284,162014
2016,285,65693
2016,286,145358
2016,287,140720
2016,288,50778
2016,289,36485
2016,290,303379
2016,291,166779
2016,292,309702
2016,293,186860
2016,294,490207
2016,295,219477
2016,296,199315
2016,297,319948
2016,298,129154
2016,260,810528
2016,299,1263051
2016,363,12487
2016,364,46512
2016,365,9605
2016,366,21342
2016,367,13069
2016,368,12473
2016,369,19471
2016,370,30883
2016,371,45404
2016,372,12772
2016,373,11818
2016,374,16230
2016,375,23075
2016,376,35941
2016,377,6879
2016,378,68929
2016,379,100282
2016,380,16566
2016,381,39345
2016,382,20691
2016,383,255351
2016,384,48164
2016,385,24059
2016,386,60168
2016,360,84201
2016,361,104408
2016,362,53656
2016,460,40044
2016,461,49999
2016,462,35840
2016,463,24797
2016,464,66084
2016,465,29149
2016,466,47373
2016,467,428843
2016,468,78515
2016,469,117632
2016,470,140044
2016,471,64893
2016,472,353452
2016,473,50054
2016,474,53525
2016,475,154732
2016,477,118907
2016,478,163564
2016,479,57574
2016,499,759693
2016,503,160005
2016,504,108576
2016,505,56315
2016,506,292219
2016,560,80739
2016,561,92100
2016,562,111645
2016,563,105609
2016,564,41096
2016,565,33328
2016,566,679766
2016,567,68881
2016,568,71547
2016,514,253382
2016,569,103113
2016,570,100265
2016,571,135132
2016,573,114917
2016,582,172077
2016,583,198215
2016,584,39357
2016,585,77265
2016,586,202176
2016,538,370579
2016,542,114284
2016,587,138561
2016,588,74792
2016,589,223140
2016,590,49778
2016,594,105061
2016,595,14537
2016,596,76753
2016,597,108628
2016,598,197286
2016,574,76639
2016,575,171325
2016,576,189578
2016,577,113635
2016,524,389117
2016,525,36869
2016,526,105121
2016,529,241196
2016,578,89614
2016,579,143845
2016,580,211893
2016,581,205762
2016,546,89969
2016,591,147808
2016,592,276719
2016,593,143117
2016,599,3661911
2016,660,189901
2016,661,537516
2016,662,626522
2016,663,59562
2016,664,243649
2016,665,106108
2016,666,129052
2016,667,314394
2016,668,181865
2016,669,157690
2016,670,68803
2016,671,64000
2016,672,167827
2016,673,56025
2016,674,102703
2016,675,63923
2016,676,179604
2016,677,417282
2016,678,82012
2016,760,733445
2016,761,111612
2016,762,112472
2016,763,383864
2016,764,156985
2016,765,108902
2016,766,188843
2016,797,3379104
2016,798,4949347
2016,799,3275152
2016,860,187630
2016,861,164608
2016,862,189036
2016,863,85395
2016,864,123419
2016,865,45232
2016,866,340091
2016,867,84151
2016,868,455228
2016,869,278749
2016,870,48149
2016,871,333331
2016,872,246016
2016,873,101895
2016,874,622158
2016,875,71211
2016,876,410907
2016,877,548760
2016,960,256127
2016,961,218030
2016,962,416488
2016,963,168937
2016,964,99605
2016,965,99090
2016,966,657982
2016,967,94461
2016,968,542416
2016,969,160604
2016,970,125072
2016,973,108645
2016,974,702190
2016,976,233925
2016,977,96232
2016,978,136626
2016,979,36655
2016,980,71044
2016,981,76296
2016,982,328905
2016,983,127169
2016,984,268256
2016,985,283956
2016,986,96668
2016,987,393713
