municipality,water_satisfaction,electricity_satisfaction,refuse_removal_satisfaction,sanitation_satisfaction
598,23.4,62.0,18.5,33.7
574,40.8,49.5,55.5,55.7
575,44.6,64.9,48.6,60.2
576,27.2,57.3,17.9,47.1
577,44.7,82.7,59.0,65.9
524,72.8,77.9,72.5,62.8
525,41.5,64.6,52.6,51.5
526,62.6,77.0,42.1,47.1
529,25.6,50.7,45.6,48.2
578,42.9,76.6,42.8,24.8
579,46.9,75.0,42.7,46.4
580,21.3,68.0,16.7,43.2
581,35.0,64.0,42.1,61.2
546,19.6,50.3,18.4,42.3
591,51.7,69.1,38.0,49.2
592,34.8,42.1,41.5,31.2
593,30.5,57.7,27.3,53.9
599,58.6,56.4,56.9,53.2
660,19.1,80.1,47.8,36.1
661,35.1,58.2,38.5,36.3
662,47.1,57.7,60.6,49.4
663,46.5,74.0,31.5,54.0
664,34.4,62.9,50.0,49.8
665,39.8,66.2,28.0,36.6
666,31.9,65.1,29.9,26.0
667,47.6,64.9,57.5,51.0
668,33.4,65.3,27.5,39.0
669,33.7,45.1,35.2,32.6
670,36.0,50.8,44.6,48.7
671,32.5,66.8,56.1,29.2
672,51.7,63.9,45.2,52.3
673,55.2,75.6,77.9,75.6
674,38.4,52.6,30.0,48.6
675,39.7,37.6,52.5,50.0
676,75.4,76.9,82.6,79.4
677,70.0,72.0,72.6,80.3
678,59.1,90.3,37.6,70.9
760,77.1,64.7,62.6,72.8
761,80.3,81.2,78.4,74.5
762,86.8,73.5,83.5,84.6
763,72.7,63.5,77.4,71.9
764,68.2,56.9,70.0,68.8
765,61.0,58.4,60.0,57.6
766,64.0,59.5,61.8,64.2
797,74.1,67.8,73.8,71.8
798,73.7,58.1,48.5,67.9
799,72.6,69.8,75.0,71.9
860,35.1,65.5,37.7,48.5
861,54.6,52.3,59.9,62.6
862,49.2,54.0,49.8,44.6
863,74.0,72.0,60.2,61.3
864,50.6,52.7,50.3,60.8
865,52.7,63.6,52.2,78.1
866,75.0,58.0,65.1,66.9
867,68.4,65.8,67.6,69.2
868,23.4,35.9,28.7,46.5
869,60.9,74.3,77.6,73.2
870,48.5,66.2,41.0,72.1
871,35.0,71.7,16.0,25.1
872,43.2,66.4,23.9,36.9
873,57.7,63.5,61.0,64.6
874,35.0,64.1,39.9,38.4
875,61.8,83.9,75.6,64.9
876,41.1,75.3,33.6,49.8
877,45.8,74.9,30.9,37.1
960,41.9,79.4,39.7,63.0
961,42.0,74.8,38.6,56.9
962,36.2,73.9,40.7,59.4
963,33.8,60.2,45.8,47.5
964,34.4,73.0,31.4,55.8
965,26.2,80.6,19.7,71.3
966,43.0,75.3,42.4,56.1
967,72.5,76.9,76.0,82.4
968,36.8,71.1,40.3,52.1
969,36.3,75.8,35.1,44.1
970,44.0,66.4,19.0,27.2
973,52.6,72.0,41.5,50.2
974,50.0,64.3,54.1,55.8
976,24.0,58.6,28.3,29.4
977,31.9,64.9,32.1,41.8
978,61.7,83.5,62.3,68.0
979,35.7,50.8,36.4,51.3
980,41.8,53.1,67.6,67.6
981,62.5,60.5,75.7,73.4
982,36.9,63.8,29.3,37.7
983,21.2,72.5,37.5,37.2
984,38.2,64.5,25.4,27.9
985,23.8,63.9,14.9,28.5
986,21.9,74.3,25.1,37.7
987,27.3,61.2,20.3,38.6
