municipality,year,sampi_headcount,sampi_intensity,population
366,2011,0.023,0.393,21578
367,2011,0.042,0.402,12588
368,2011,0.044,0.408,12465
369,2011,0.069,0.428,18601
370,2011,0.092,0.442,28376
371,2011,0.033,0.411,42356
372,2011,0.06,0.434,11673
373,2011,0.06,0.443,10978
374,2011,0.117,0.424,15701
375,2011,0.056,0.418,21591
376,2011,0.098,0.42,37076
377,2011,0.067,0.404,7003
378,2011,0.035,0.4,65869
379,2011,0.037,0.41,93494
380,2011,0.123,0.414,16637
381,2011,0.065,0.416,35093
382,2011,0.026,0.415,18687
383,2011,0.056,0.441,248041
384,2011,0.11,0.421,46841
385,2011,0.076,0.402,24204
386,2011,0.1,0.421,63000
460,2011,0.056,0.424,38628
461,2011,0.038,0.416,49171
462,2011,0.062,0.427,34146
463,2011,0.044,0.422,24314
464,2011,0.053,0.418,63334
465,2011,0.077,0.421,28986
466,2011,0.048,0.419,47625
467,2011,0.055,0.43,406461
468,2011,0.056,0.426,81220
469,2011,0.066,0.423,112597
470,2011,0.061,0.423,128704
471,2011,0.063,0.415,60324
472,2011,0.079,0.414,335784
473,2011,0.085,0.412,47772
474,2011,0.046,0.411,51056
475,2011,0.027,0.414,160532
477,2011,0.047,0.422,120520
478,2011,0.051,0.428,149108
479,2011,0.068,0.418,57876
499,2011,0.048,0.422,747431
503,2011,0.228,0.412,160975
504,2011,0.174,0.415,96556
505,2011,0.15,0.41,52540
506,2011,0.08,0.418,256135
514,2011,0.081,0.416,237437
524,2011,0.055,0.421,363236
525,2011,0.214,0.421,34442
526,2011,0.116,0.416,102161
529,2011,0.112,0.419,211060
538,2011,0.041,0.416,334459
542,2011,0.242,0.412,114416
546,2011,0.254,0.406,96724
560,2011,0.29,0.412,77403
561,2011,0.138,0.438,78875
562,2011,0.106,0.403,106374
563,2011,0.057,0.434,92710
564,2011,0.108,0.41,38103
565,2011,0.142,0.413,33105
566,2011,0.059,0.425,618536
567,2011,0.148,0.407,63142
568,2011,0.13,0.399,65793
569,2011,0.183,0.427,103116
570,2011,0.155,0.433,83153
571,2011,0.187,0.425,132068
573,2011,0.161,0.415,113073
574,2011,0.073,0.433,64862
575,2011,0.195,0.416,165307
576,2011,0.372,0.431,177577
577,2011,0.199,0.414,103093
578,2011,0.134,0.412,82053
579,2011,0.125,0.414,127238
580,2011,0.153,0.417,194908
581,2011,0.124,0.416,188317
582,2011,0.295,0.427,156736
583,2011,0.223,0.426,186502
584,2011,0.176,0.421,35258
585,2011,0.162,0.418,71925
586,2011,0.117,0.415,175425
587,2011,0.1,0.415,122889
588,2011,0.169,0.413,74336
589,2011,0.156,0.404,213601
590,2011,0.164,0.409,47818
591,2011,0.088,0.412,138078
592,2011,0.086,0.412,231187
593,2011,0.217,0.41,140820
594,2011,0.214,0.413,100548
595,2011,0.109,0.408,12898
596,2011,0.092,0.429,65981
597,2011,0.217,0.415,101691
598,2011,0.222,0.422,180302
599,2011,0.066,0.428,3442361
660,2011,0.079,0.412,186947
661,2011,0.095,0.42,477381
662,2011,0.072,0.429,549575
663,2011,0.082,0.413,51049
664,2011,0.083,0.413,242554
665,2011,0.166,0.424,107339
666,2011,0.134,0.416,124218
667,2011,0.106,0.425,291527
668,2011,0.116,0.418,168902
669,2011,0.132,0.42,150713
670,2011,0.107,0.419,66781
671,2011,0.101,0.42,60355
672,2011,0.166,0.422,177642
673,2011,0.051,0.42,53248
674,2011,0.17,0.413,105789
675,2011,0.114,0.406,56702
676,2011,0.039,0.427,162762
677,2011,0.046,0.414,398676
678,2011,0.081,0.408,77794
760,2011,0.034,0.423,721663
761,2011,0.065,0.441,95301
762,2011,0.048,0.418,99520
763,2011,0.058,0.438,362422
764,2011,0.049,0.433,149286
765,2011,0.154,0.45,111767
766,2011,0.085,0.445,197520
797,2011,0.064,0.445,3178470
798,2011,0.037,0.433,4434827
799,2011,0.042,0.434,2921488
860,2011,0.109,0.413,186010
861,2011,0.092,0.414,149377
862,2011,0.158,0.415,171982
863,2011,0.092,0.418,83235
864,2011,0.045,0.415,115662
865,2011,0.083,0.423,42390
866,2011,0.045,0.42,294538
867,2011,0.069,0.431,75452
868,2011,0.08,0.436,395466
869,2011,0.043,0.42,229831
870,2011,0.064,0.413,47216
871,2011,0.056,0.422,310458
872,2011,0.06,0.411,249705
873,2011,0.066,0.409,98387
874,2011,0.06,0.42,588794
875,2011,0.091,0.423,67156
876,2011,0.104,0.417,393030
877,2011,0.118,0.41,541248
960,2011,0.145,0.416,244217
961,2011,0.111,0.413,212701
962,2011,0.102,0.412,390095
963,2011,0.087,0.426,150637
964,2011,0.127,0.414,94857
965,2011,0.201,0.422,91870
966,2011,0.145,0.416,618462
967,2011,0.078,0.408,68359
968,2011,0.108,0.412,516031
969,2011,0.093,0.421,162629
970,2011,0.066,0.405,131164
973,2011,0.052,0.404,108321
974,2011,0.066,0.421,628999
976,2011,0.088,0.411,230350
977,2011,0.083,0.417,85234
978,2011,0.054,0.419,115767
979,2011,0.048,0.428,35640
980,2011,0.058,0.42,68513
981,2011,0.051,0.418,66500
982,2011,0.07,0.412,307682
983,2011,0.103,0.41,123648
984,2011,0.085,0.413,249363
985,2011,0.122,0.414,274358
986,2011,0.096,0.413,93795
987,2011,0.135,0.422,335676
160,2016,0.008,0.425,71045
161,2016,0.036,0.457,52949
162,2016,0.016,0.415,67474
163,2016,0.067,0.454,111173
164,2016,0.009,0.399,133762
165,2016,0.025,0.408,130548
166,2016,0.025,0.427,280195
167,2016,0.061,0.398,173420
168,2016,0.024,0.443,176578
169,2016,0.011,0.394,105483
170,2016,0.019,0.404,40211
171,2016,0.028,0.407,117109
172,2016,0.033,0.401,93466
173,2016,0.009,0.385,36000
174,2016,0.012,0.363,24168
175,2016,0.012,0.396,54237
176,2016,0.021,0.43,94135
177,2016,0.015,0.404,208237
178,2016,0.022,0.432,97509
179,2016,0.042,0.379,59157
180,2016,0.033,0.402,73835
181,2016,0.042,0.374,8895
182,2016,0.029,0.405,14272
183,2016,0.03,0.423,51080
199,2016,0.026,0.393,4004793
260,2016,0.073,0.428,810528
261,2016,0.027,0.39,53441
262,2016,0.057,0.419,36063
263,2016,0.021,0.38,10625
264,2016,0.022,0.416,82060
265,2016,0.061,0.426,63180
266,2016,0.063,0.444,59793
267,2016,0.035,0.401,18131
268,2016,0.057,0.424,112941
269,2016,0.023,0.381,43688
270,2016,0.221,0.44,270068
271,2016,0.203,0.432,254013
272,2016,0.122,0.435,39476
273,2016,0.172,0.408,122548
274,2016,0.217,0.405,69200
276,2016,0.15,0.396,134058
277,2016,0.034,0.397,25458
278,2016,0.035,0.404,70493
279,2016,0.132,0.408,35065
280,2016,0.075,0.425,24087
281,2016,0.081,0.415,204111
282,2016,0.277,0.432,146341
283,2016,0.226,0.425,122691
284,2016,0.233,0.449,162014
285,2016,0.129,0.424,65693
286,2016,0.191,0.448,145358
287,2016,0.132,0.426,140720
288,2016,0.052,0.432,50778
289,2016,0.05,0.404,36485
290,2016,0.223,0.435,303379
291,2016,0.234,0.445,166779
292,2016,0.21,0.442,309702
293,2016,0.213,0.425,186860
294,2016,0.148,0.431,490207
295,2016,0.187,0.44,219477
296,2016,0.242,0.438,199315
297,2016,0.228,0.444,319948
298,2016,0.234,0.455,129154
299,2016,0.03,0.423,1263051
360,2016,0.184,0.427,84201
361,2016,0.115,0.427,104408
362,2016,0.046,0.425,53656
363,2016,0.019,0.383,12487
364,2016,0.025,0.417,46512
365,2016,0.03,0.39,9605
366,2016,0.021,0.454,21342
367,2016,0.028,0.395,13069
368,2016,0.059,0.424,12473
369,2016,0.065,0.425,19471
370,2016,0.078,0.437,30883
371,2016,0.042,0.402,45404
372,2016,0.085,0.388,12772
373,2016,0.029,0.46,11818
374,2016,0.068,0.449,16230
375,2016,0.059,0.411,23075
376,2016,0.061,0.394,35941
377,2016,0.053,0.433,6879
378,2016,0.053,0.411,68929
379,2016,0.04,0.398,100282
380,2016,0.135,0.404,16566
381,2016,0.067,0.419,39345
382,2016,0.031,0.389,20691
383,2016,0.036,0.423,255351
384,2016,0.098,0.434,48164
385,2016,0.081,0.387,24059
386,2016,0.076,0.416,60168
460,2016,0.044,0.421,40044
461,2016,0.062,0.419,49999
