year,age_by_1_year,population_group,population
2011,60,Black African,189792
2011,60,White,56456
2011,61,Black African,216146
2011,61,White,53733
2011,62,Black African,181466
2011,62,White,54356
2011,63,Black African,173266
2011,63,White,54841
2011,64,Black African,152770
2011,64,White,54271
2011,65,Black African,135150
2011,65,White,51224
2011,66,Black African,120423
2011,66,White,46831
2011,67,Black African,112321
2011,67,White,46845
2011,68,Black African,112096
2011,68,White,42355
2011,69,Black African,121069
2011,69,White,40054
2011,70,Black African,98309
2011,70,White,38808
2011,71,Black African,136160
2011,71,White,36838
2011,72,Black African,93447
2011,72,White,35361
2011,73,Black African,84970
2011,73,White,32473
2011,74,Black African,72965
2011,74,White,29954
2011,75,Black African,77972
2011,75,White,28520
2011,76,Black African,62447
2011,76,White,25383
2011,77,Black African,58887
2011,77,White,22416
2011,78,Black African,57717
2011,78,White,20957
2011,79,Black African,53685
2011,79,White,19646
2011,80,Black African,43930
2011,80,White,19346
2011,81,Black African,66883
2011,81,White,17269
2011,82,Black African,42901
2011,82,White,15318
2011,83,Black African,35735
2011,83,White,13283
2011,84,Black African,28696
2011,84,White,11857
2011,85,Black African,26067
2011,85,White,10344
2011,86,Black African,23837
2011,86,White,8608
2011,87,Black African,19962
2011,87,White,7575
2011,88,Black African,13579
2011,88,White,6132
2011,89,Black African,13471
2011,89,White,5063
2011,90,Black African,13988
2011,90,White,4301
2011,91,Black African,17426
2011,91,White,3346
2011,92,Black African,9504
2011,92,White,2258
2011,93,Black African,12219
2011,93,White,1699
2011,94,Black African,3572
2011,94,White,1166
2011,95,Black African,3330
2011,95,White,983
2011,96,Black African,3027
2011,96,White,769
2011,97,Black African,4286
2011,97,White,586
2011,98,Black African,2173
2011,98,White,435
2011,99,Black African,2168
2011,99,White,321
2011,100,Black African,1546
2011,100,White,183
2011,101,Black African,2093
2011,101,White,130
2011,102,Black African,1180
2011,102,White,114
2011,103,Black African,777
2011,103,White,117
2011,104,Black African,697
2011,104,White,109
2011,105,Black African,727
2011,105,White,84
2011,106,Black African,668
2011,106,White,89
2011,107,Black African,692
2011,107,White,80
2011,108,Black African,636
2011,108,White,100
2011,109,Black African,739
2011,109,White,119
2011,110,Black African,800
2011,110,White,104
2011,111,Black African,871
2011,111,White,95
2011,112,Black African,82
2011,112,White,6
2011,113,Black African,52
2011,113,White,6
2011,114,Black African,49
2011,114,White,4
2011,115,Black African,77
2011,115,White,7
2011,116,Black African,226
2011,116,White,17
2016,0,Black African,22505480
2016,0,White,2213981
2016,1,Black African,1016513
2016,1,White,49375
2016,2,Black African,1060168
2016,2,White,50465
2016,3,Black African,1047017
2016,3,White,55031
2016,4,Black African,1048384
2016,4,White,51158
2016,5,Black African,976617
2016,5,White,53497
2016,6,Black African,952627
2016,6,White,56603
2016,7,Black African,979820
2016,7,White,53783
2016,8,Black African,961994
2016,8,White,50343
2016,9,Black African,959066
2016,9,White,48109
2016,10,Black African,971559
2016,10,White,57813
2016,11,Black African,932264
2016,11,White,55704
2016,12,Black African,848043
2016,12,White,53989
2016,13,Black African,829839
2016,13,White,50998
2016,14,Black African,813136
2016,14,White,50022
2016,15,Black African,861429
2016,15,White,61314
2016,16,Black African,868871
2016,16,White,63046
2016,17,Black African,838736
2016,17,White,62970
2016,18,Black African,853096
2016,18,White,50998
2016,19,Black African,858374
2016,19,White,52428
2016,20,Black African,886737
2016,20,White,62791
2016,21,Black African,919481
2016,21,White,61399
2016,22,Black African,881001
2016,22,White,59121
2016,23,Black African,895363
2016,23,White,60570
2016,24,Black African,879157
2016,24,White,59376
2016,25,Black African,957862
2016,25,White,57153
2016,26,Black African,918068
2016,26,White,57521
2016,27,Black African,878274
2016,27,White,55579
2016,28,Black African,861086
2016,28,White,56519
2016,29,Black African,864760
2016,29,White,61020
2016,30,Black African,814881
2016,30,White,55213
2016,31,Black African,758427
2016,31,White,57539
2016,32,Black African,733639
2016,32,White,55039
2016,33,Black African,742113
2016,33,White,58498
2016,34,Black African,635251
2016,34,White,53187
2016,35,Black African,687094
2016,35,White,61202
2016,36,Black African,673023
2016,36,White,55052
2016,37,Black African,575747
2016,37,White,53742
2016,38,Black African,568614
2016,38,White,51580
2016,39,Black African,571720
2016,39,White,57214
2016,40,Black African,569763
2016,40,White,57477
2016,41,Black African,529003
2016,41,White,54936
2016,42,Black African,479536
2016,42,White,52757
2016,43,Black African,505558
2016,43,White,62524
2016,44,Black African,417343
2016,44,White,55274
2016,45,Black African,456851
2016,45,White,73815
2016,46,Black African,439333
2016,46,White,69211
2016,47,Black African,429536
2016,47,White,64362
2016,48,Black African,363521
2016,48,White,61453
2016,49,Black African,357807
2016,49,White,59501
2016,50,Black African,354687
2016,50,White,68562
2016,51,Black African,347474
2016,51,White,67291
2016,52,Black African,343576
2016,52,White,64534
2016,53,Black African,334207
2016,53,White,65541
2016,54,Black African,271854
2016,54,White,65601
2016,55,Black African,303412
2016,55,White,71668
2016,56,Black African,282852
2016,56,White,65766
2016,57,Black African,276139
2016,57,White,64392
2016,58,Black African,254758
2016,58,White,61787
2016,59,Black African,241899
2016,59,White,65000
2016,60,Black African,238530
2016,60,White,60513
2016,61,Black African,222181
2016,61,White,58918
2016,62,Black African,211631
2016,62,White,57242
2016,63,Black African,224318
2016,63,White,59307
2016,64,Black African,168003
2016,64,White,55208
2016,65,Black African,186643
2016,65,White,56281
2016,66,Black African,171167
2016,66,White,56360
2016,67,Black African,150154
2016,67,White,53168
2016,68,Black African,131350
2016,68,White,52307
2016,69,Black African,118825
2016,69,White,48074
2016,70,Black African,119484
2016,70,White,46574
2016,71,Black African,105477
2016,71,White,45709
