year,municipality,piped_water_percentage,electricity_lighting_total,population
2001,370,0.853703626,0.660940713,23641.32326
2001,371,0.643582114,0.53194312,35785.26913
2001,372,0.923220966,0.739673021,9487.541161
2001,373,0.759865316,0.534139655,9069.538021
2001,374,0.735325869,0.54857178,14467.33684
2001,375,0.937557466,0.856298871,18445.40852
2001,376,0.586556844,0.424629134,39275.1005
2001,377,0.488976944,0.538794046,7207.348724
2001,378,0.802105535,0.675594794,58670.89919
2001,379,0.621753845,0.468331978,77918.66475
2001,380,0.759085226,0.625757506,16538.4871
2001,381,0.518639613,0.389433852,27082.26693
2001,382,0.561600314,0.641916514,14742.61777
2001,383,0.317904995,0.063516073,202245.54
2001,384,0.485856581,0.104577168,38262.19839
2001,385,0.318320928,0.186745826,21733.48993
2001,386,0.410944614,0.285199258,61321.40905
2001,460,0.489532301,0.443435723,42847.42919
2001,461,0.885388318,0.860276737,56079.46109
2001,462,0.337242026,0.053183476,36321.02023
2001,463,0.300134868,0.501921782,27478.892
2001,464,0.271174154,0.277962738,64409.28995
2001,465,0.348356289,0.389980036,32455.49511
2001,466,0.437901539,0.299380321,53713.53765
2001,467,0.498469932,0.269261581,408170.0219
2001,468,0.827976024,0.456920992,98263.77794
2001,469,0.957729013,0.500278792,123194.2946
2001,470,0.304363254,0.261181413,129338.0319
2001,471,0.355084233,0.309654605,61950.968
2001,472,0.926476853,0.663368716,360549.1247
2001,473,0.566433453,0.16411682,51928.07602
2001,474,0.147596759,0.082621524,55341.89996
2001,475,0.424126928,0.342504586,167891.923
2001,477,0.872091288,0.841494189,118809.7446
2001,478,0.50113796,0.291016433,115954.5019
2001,479,0.543012849,0.434745515,56637.42748
2001,499,0.635564089,0.431534559,645440.3794
2001,503,0.628546085,0.312652717,193767.6703
2001,504,0.606314169,0.535178067,92327.11516
2001,505,0.304303627,0.245926192,54774.97315
2001,506,0.459308621,0.403411082,217823.5978
2001,514,0.115800011,0.169811383,225458.5989
2001,524,0.650773075,0.627202214,332980.6023
2001,525,0.760909419,0.747178339,32277.07074
2001,526,0.295404987,0.18212976,102778.7926
2001,529,0.948848504,0.797340555,191019.1368
2001,538,0.866919806,0.673250956,289189.8389
2001,542,0.866981702,0.653580942,133602.447
2001,546,0.77177762,0.691050016,120642.5434
2001,560,0.952833616,0.759967234,82961.48783
2001,561,0.845415957,0.587542015,62375.33531
2001,562,0.767156414,0.389404482,108421.8475
2001,563,0.852766311,0.593031069,73895.78676
2001,564,0.923321104,0.622333593,36832.14141
2001,565,0.885950486,0.671456499,37843.98773
2001,566,0.777466154,0.416192742,552837.2703
2001,567,0.82093949,0.388815118,59067.32
2001,568,0.741003479,0.747954405,63222.63907
2001,569,0.815097902,0.636328634,113643.9134
2001,570,0.600231635,0.612121283,60086.67658
2001,571,0.988093294,0.48415962,137924.3594
2001,573,0.950766941,0.724436677,120621.9672
2001,574,0.957958565,0.618374979,51100.92706
2001,575,0.934247386,0.529555002,169418.5592
2001,576,0.966646989,0.719941322,167274.2221
2001,577,0.721895275,0.706024723,92294.07988
2001,578,0.663213721,0.82426637,82240.72896
2001,579,0.587919697,0.855494763,119780.7804
2001,580,0.456997369,0.620706524,198443.3417
2001,581,0.585775474,0.390438608,188585.1261
2001,582,0.620637738,0.466402648,142564.7166
2001,583,0.759005723,0.504056859,184206.0537
2001,584,0.896450465,0.530209851,31482.11658
2001,585,0.668046492,0.344063305,69268.63336
2001,586,0.824971618,0.669375435,145819.6068
2001,587,0.968398877,0.593409286,106942.1674
2001,588,0.9365997,0.673358222,84771.072
2001,589,0.967260765,0.689562404,221077.6184
2001,590,0.935293422,0.649238301,50382.22644
2001,591,0.932509598,0.687873597,127326.7691
2001,592,0.958824075,0.746891461,167804.9215
2001,593,0.90522592,0.718314301,144614.5993
2001,594,0.927740451,0.88705072,107558.2843
2001,595,0.720824023,0.920226102,11847.91332
2001,596,0.943555595,0.760681222,56527.53492
2001,597,0.864602358,0.72320558,101959.379
2001,598,0.859419982,0.568695034,174338.0776
2001,599,0.863425698,0.473309995,3090122.245
2001,660,0.740566432,0.78901931,181033.111
2001,661,0.770958198,0.714933196,347577.9584
2001,662,0.84129174,0.709708074,387096.4983
2001,663,0.82921681,0.716415075,36477.40364
2001,664,0.923228163,0.634555405,237174.8208
2001,665,0.898435923,0.912912109,106164.8598
2001,666,0.679520265,0.763598982,114154.9626
2001,667,0.902110546,0.694864318,259478.2103
2001,668,0.661286909,0.719787108,147599.2344
2001,669,0.823729876,0.670391951,137442.7741
2001,670,0.935678397,0.698886185,56262.86053
2001,671,0.985591261,0.650312505,48365.74349
2001,672,0.969381899,0.710892853,182163.7388
2001,673,0.888616564,0.492659837,42967.25491
2001,674,0.969891003,0.702720207,100468.5869
2001,675,0.725101372,0.643788139,43078.20604
2001,676,0.962529648,0.612184174,128352.5294
2001,677,0.979024242,0.779041825,359202.1204
2001,678,0.986166291,0.810558603,69036.87853
2001,760,0.931787109,0.62855697,657949.3312
2001,761,0.989452546,0.940224798,64270.90474
2001,762,0.970133201,0.844098231,71868.00956
2001,763,0.861303177,0.481988523,295505.0167
2001,764,0.977743068,0.72412576,128841.8521
2001,765,0.98281186,0.652472489,109799.3577
2001,766,0.924693514,0.704139964,210480.818
2001,797,0.958396582,0.751712019,2481762.051
2001,798,0.983662583,0.805195182,3226054.604
2001,799,0.991661476,0.830929887,2142322.383
2001,860,0.975166138,0.737007963,187750.6694
2001,861,0.991512157,0.720562659,124812.3867
2001,862,0.976343889,0.669306876,143077.2052
2001,863,0.978326249,0.810218995,80736.73229
2001,864,0.942271821,0.662132203,103265.1664
2001,865,0.880614898,0.557804593,38618.01655
2001,866,0.91306427,0.702093385,221747.2056
2001,867,0.978946757,0.737193684,56334.72244
2001,868,0.893011727,0.588892096,276412.6881
2001,869,0.9721497,0.745533056,142771.9469
2001,870,0.990933926,0.834012469,43006.65401
2001,871,0.993660806,0.822224819,256582.9916
2001,872,0.922535745,0.604119867,243313.2737
2001,873,0.942866124,0.803053096,81680.74507
2001,874,0.944186097,0.746752682,476903.4598
2001,875,0.723176465,0.368692845,53744.05298
2001,876,0.905859012,0.745399781,334668.4919
2001,877,0.983280426,0.926788713,500127.7783
2001,960,0.962320601,0.807151254,240728.5811
