geo,time,gender,age,population_projection
zaf,2019,female,77,69474
zaf,2019,male,77,29260
zaf,2019,female,78,64257
zaf,2019,male,78,27244
zaf,2019,female,79,59226
zaf,2019,male,79,25644
zaf,2019,female,80,54639
zaf,2019,male,80,24491
zaf,2019,female,81,49798
zaf,2019,male,81,22887
zaf,2019,female,82,44304
zaf,2019,male,82,20431
zaf,2019,female,83,38541
zaf,2019,male,83,17495
zaf,2019,female,84,33209
zaf,2019,male,84,14813
zaf,2019,female,85,28052
zaf,2019,male,85,12187
zaf,2019,female,86,23834
zaf,2019,male,86,10059
zaf,2019,female,87,20973
zaf,2019,male,87,8706
zaf,2019,female,88,19027
zaf,2019,male,88,7872
zaf,2019,female,89,17218
zaf,2019,male,89,7051
zaf,2019,female,90,15797
zaf,2019,male,90,6381
zaf,2019,female,91,13963
zaf,2019,male,91,5563
zaf,2019,female,92,11273
zaf,2019,male,92,4407
zaf,2019,female,93,8149
zaf,2019,male,93,3089
zaf,2019,female,94,3906
zaf,2019,male,94,862
zaf,2019,female,95,2547
zaf,2019,male,95,690
zaf,2019,female,96,1472
zaf,2019,male,96,517
zaf,2019,female,97,844
zaf,2019,male,97,346
zaf,2019,female,98,516
zaf,2019,male,98,172
zaf,2019,female,99,334
zaf,2019,male,99,80
zaf,2019,female,100plus,660
zaf,2019,male,100plus,128
zaf,2020,female,0,531889
zaf,2020,male,0,553175
zaf,2020,female,1,525688
zaf,2020,male,1,539756
zaf,2020,female,2,522048
zaf,2020,male,2,531124
zaf,2020,female,3,520569
zaf,2020,male,3,526588
zaf,2020,female,4,520845
zaf,2020,male,4,525458
zaf,2020,female,5,522478
zaf,2020,male,5,527043
zaf,2020,female,6,525063
zaf,2020,male,6,530653
zaf,2020,female,7,528201
zaf,2020,male,7,535597
zaf,2020,female,8,531486
zaf,2020,male,8,541184
zaf,2020,female,9,534519
zaf,2020,male,9,546725
zaf,2020,female,10,537879
zaf,2020,male,10,553737
zaf,2020,female,11,542144
zaf,2020,male,11,563741
zaf,2020,female,12,542006
zaf,2020,male,12,564996
zaf,2020,female,13,535096
zaf,2020,male,13,552396
zaf,2020,female,14,523959
zaf,2020,male,14,531876
zaf,2020,female,15,513531
zaf,2020,male,15,512766
zaf,2020,female,16,502859
zaf,2020,male,16,491138
zaf,2020,female,17,494302
zaf,2020,male,17,482489
zaf,2020,female,18,489546
zaf,2020,male,18,494816
zaf,2020,female,19,487513
zaf,2020,male,19,519923
zaf,2020,female,20,485070
zaf,2020,male,20,542575
zaf,2020,female,21,482400
zaf,2020,male,21,566969
zaf,2020,female,22,482065
zaf,2020,male,22,581244
zaf,2020,female,23,484888
zaf,2020,male,23,578334
zaf,2020,female,24,489704
zaf,2020,male,24,564545
zaf,2020,female,25,494164
zaf,2020,male,25,552280
zaf,2020,female,26,498301
zaf,2020,male,26,537897
zaf,2020,female,27,502120
zaf,2020,male,27,529302
zaf,2020,female,28,505244
zaf,2020,male,28,531307
zaf,2020,female,29,507316
zaf,2020,male,29,539086
zaf,2020,female,30,508537
zaf,2020,male,30,543626
zaf,2020,female,31,509080
zaf,2020,male,31,547464
zaf,2020,female,32,505851
zaf,2020,male,32,543644
zaf,2020,female,33,497390
zaf,2020,male,33,528032
zaf,2020,female,34,484971
zaf,2020,male,34,504407
zaf,2020,female,35,472046
zaf,2020,male,35,481611
zaf,2020,female,36,458793
zaf,2020,male,36,458998
zaf,2020,female,37,442124
zaf,2020,male,37,433987
zaf,2020,female,38,421129
zaf,2020,male,38,406549
zaf,2020,female,39,397620
zaf,2020,male,39,378260
zaf,2020,female,40,374082
zaf,2020,male,40,349939
zaf,2020,female,41,349726
zaf,2020,male,41,320472
zaf,2020,female,42,329571
zaf,2020,male,42,299098
zaf,2020,female,43,316284
zaf,2020,male,43,290202
zaf,2020,female,44,307681
zaf,2020,male,44,289543
zaf,2020,female,45,298887
zaf,2020,male,45,288362
zaf,2020,female,46,290837
zaf,2020,male,46,288256
zaf,2020,female,47,283206
zaf,2020,male,47,286853
zaf,2020,female,48,275330
zaf,2020,male,48,282041
zaf,2020,female,49,267595
zaf,2020,male,49,275010
zaf,2020,female,50,260788
zaf,2020,male,50,269069
zaf,2020,female,51,254435
zaf,2020,male,51,263559
zaf,2020,female,52,249446
zaf,2020,male,52,257025
zaf,2020,female,53,246253
zaf,2020,male,53,249074
zaf,2020,female,54,244128
zaf,2020,male,54,239972
zaf,2020,female,55,241971
zaf,2020,male,55,230636
zaf,2020,female,56,240075
zaf,2020,male,56,221191
zaf,2020,female,57,236791
zaf,2020,male,57,210238
zaf,2020,female,58,231215
zaf,2020,male,58,197275
zaf,2020,female,59,224046
zaf,2020,male,59,183064
zaf,2020,female,60,216967
zaf,2020,male,60,168840
zaf,2020,female,61,209729
zaf,2020,male,61,154323
zaf,2020,female,62,201994
zaf,2020,male,62,140933
zaf,2020,female,63,193794
zaf,2020,male,63,129493
zaf,2020,female,64,185225
zaf,2020,male,64,119408
zaf,2020,female,65,176389
zaf,2020,male,65,109374
zaf,2020,female,66,167296
zaf,2020,male,66,99790
zaf,2020,female,67,158234
zaf,2020,male,67,90190
zaf,2020,female,68,149369
zaf,2020,male,68,80254
zaf,2020,female,69,140635
zaf,2020,male,69,70388
zaf,2020,female,70,131891
zaf,2020,male,70,61195
zaf,2020,female,71,123277
zaf,2020,male,71,52411
zaf,2020,female,72,114530
zaf,2020,male,72,45186
zaf,2020,female,73,105543
zaf,2020,male,73,40112
zaf,2020,female,74,96542
zaf,2020,male,74,36593
zaf,2020,female,75,87782
zaf,2020,male,75,33368
zaf,2020,female,76,79121
zaf,2020,male,76,30593
zaf,2020,female,77,71436
zaf,2020,male,77,28186
zaf,2020,female,78,65162
zaf,2020,male,78,25947
zaf,2020,female,79,59879
zaf,2020,male,79,23877
zaf,2020,female,80,54800
zaf,2020,male,80,22223
zaf,2020,female,81,50162
zaf,2020,male,81,21001
zaf,2020,female,82,45336
zaf,2020,male,82,19419
zaf,2020,female,83,39958
zaf,2020,male,83,17131
zaf,2020,female,84,34378
zaf,2020,male,84,14456
zaf,2020,female,85,29239
zaf,2020,male,85,12031
zaf,2020,female,86,24311
zaf,2020,male,86,9688
zaf,2020,female,87,20260
zaf,2020,male,87,7780
zaf,2020,female,88,17452
zaf,2020,male,88,6531
zaf,2020,female,89,15504
zaf,2020,male,89,5737
zaf,2020,female,90,13719
zaf,2020,male,90,4976
zaf,2020,female,91,12296
zaf,2020,male,91,4347
zaf,2020,female,92,10650
zaf,2020,male,92,3676
zaf,2020,female,93,8443
zaf,2020,male,93,2837
zaf,2020,female,94,5978
zaf,2020,male,94,1934
