time,age,population_group,zaf_population
2001,91,White,2298.286221
2001,92,Black African,4721.966801
2001,92,White,1750.171649
2001,93,Black African,3146.539564
2001,93,White,1330.485266
2001,94,Black African,2606.944849
2001,94,White,1003.763307
2001,95,Black African,2909.06936
2001,95,White,698.173971
2001,96,Black African,2224.077332
2001,96,White,508.629122
2001,97,Black African,2199.087983
2001,97,White,357.355918
2001,98,Black African,1882.665221
2001,98,White,229.334259
2001,99,Black African,3316.944355
2001,99,White,208.11251
2001,100,Black African,2147.470463
2001,100,White,119.673664
2001,101,Black African,1338.190788
2001,101,White,85.834103
2001,102,Black African,442.373528
2001,102,White,23.235264
2001,103,Black African,207.830625
2001,103,White,7.113719
2001,104,Black African,182.53858
2001,104,White,12.089742
2001,105,Black African,218.139577
2001,105,White,3.403574
2001,106,Black African,116.031297
2001,106,White,2.206678
2001,107,Black African,63.92101
2001,107,White,2
2001,108,Black African,52.192129
2001,108,White,1.137476
2001,109,Black African,74.080548
2001,109,White,1
2001,110,Black African,88.644756
2001,110,White,4.647656
2001,111,Black African,125.542384
2001,111,White,5.569539
2001,112,Black African,50.500844
2001,112,White,1
2001,113,Black African,36.806095
2001,113,White,7.701982
2001,114,Black African,28.443046
2001,114,White,6.679358
2001,115,Black African,30.725903
2001,115,White,4.275188
2001,116,Black African,19.210225
2001,116,White,4.430222
2001,117,Black African,24.433698
2001,117,White,6.839057
2001,118,Black African,33.909625
2001,118,White,5.412664
2001,119,Black African,28.590731
2001,119,White,0
2001,120,Black African,62.578231
2001,120,White,3.137476
2011,0,Black African,988469.9765
2011,0,White,53197.43831
2011,1,Black African,963871.9756
2011,1,White,53150.23559
2011,2,Black African,973912.8181
2011,2,White,55725.64076
2011,3,Black African,965040.9778
2011,3,White,53728.06317
2011,4,Black African,939146.2418
2011,4,White,52466.01663
2011,5,Black African,892493.2365
2011,5,White,51410.88359
2011,6,Black African,878835.0323
2011,6,White,49792.03347
2011,7,Black African,803767.5493
2011,7,White,48438.82411
2011,8,Black African,749830.1728
2011,8,White,48015.29501
2011,9,Black African,729093.0546
2011,9,White,47909.96242
2011,10,Black African,758882.4331
2011,10,White,50529.03958
2011,11,Black African,780651.9276
2011,11,White,51920.0413
2011,12,Black African,745603.5243
2011,12,White,50690.13142
2011,13,Black African,752277.9338
2011,13,White,51575.90691
2011,14,Black African,780447.2095
2011,14,White,52638.19213
2011,15,Black African,818384.3363
2011,15,White,56049.75142
2011,16,Black African,816645.9534
2011,16,White,56796.50878
2011,17,Black African,841145.6976
2011,17,White,55338.02093
2011,18,Black African,832154.2572
2011,18,White,58115.25289
2011,19,Black African,863120.1671
2011,19,White,58596.81322
2011,20,Black African,917349.3608
2011,20,White,62841.28689
2011,21,Black African,944121.4636
2011,21,White,64726.10962
2011,22,Black African,881124.3315
2011,22,White,62462.35309
2011,23,Black African,882278.6411
2011,23,White,61937.99932
2011,24,Black African,854974.3998
2011,24,White,61648.24093
2011,25,Black African,870353.4185
2011,25,White,64495.35826
2011,26,Black African,869605.3084
2011,26,White,68294.05426
2011,27,Black African,819190.0291
2011,27,White,66847.96126
2011,28,Black African,810353.8042
2011,28,White,68480.75243
2011,29,Black African,787256.2271
2011,29,White,68237.27822
2011,30,Black African,697459.7693
2011,30,White,67230.7496
2011,31,Black African,710042.2725
2011,31,White,65298.10314
2011,32,Black African,654520.1411
2011,32,White,61774.62654
2011,33,Black African,581942.3477
2011,33,White,60892.68302
2011,34,Black African,593712.5079
2011,34,White,63133.14985
2011,35,Black African,577631.0057
2011,35,White,65372.84656
2011,36,Black African,566035.3304
2011,36,White,67413.27959
2011,37,Black African,518579.823
2011,37,White,68003.97689
2011,38,Black African,506333.9527
2011,38,White,69332.85737
2011,39,Black African,505574.0419
2011,39,White,72193.49898
2011,40,Black African,430822.6685
2011,40,White,75313.59437
2011,41,Black African,483017.4554
2011,41,White,71413.82155
2011,42,Black African,449379.418
2011,42,White,71652.5094
2011,43,Black African,441026.2314
2011,43,White,68394.19539
2011,44,Black African,360492.1756
2011,44,White,64699.11656
2011,45,Black African,378606.9343
2011,45,White,64297.89896
2011,46,Black African,385886.3246
2011,46,White,64507.21411
2011,47,Black African,387107.8451
2011,47,White,65683.01532
2011,48,Black African,387824.7895
2011,48,White,64870.27797
2011,49,Black African,362706.84
2011,49,White,65826.48475
2011,50,Black African,310157.002
2011,50,White,67091.79097
2011,51,Black African,349167.0911
2011,51,White,65724.09082
2011,52,Black African,308453.925
2011,52,White,65343.10777
2011,53,Black African,316701.8601
2011,53,White,64379.48346
2011,54,Black African,275446.0012
2011,54,White,62000.19426
2011,55,Black African,265825.0354
2011,55,White,61655.03605
2011,56,Black African,251482.3998
2011,56,White,61295.59671
2011,57,Black African,241437.8004
2011,57,White,58529.29387
2011,58,Black African,240245.1926
2011,58,White,57529.29753
2011,59,Black African,243210.965
2011,59,White,56586.58809
2011,60,Black African,189791.8406
2011,60,White,56455.90238
2011,61,Black African,216146.3795
2011,61,White,53732.82133
2011,62,Black African,181466.6363
2011,62,White,54355.92954
2011,63,Black African,173266.1878
2011,63,White,54841.18696
2011,64,Black African,152769.9076
2011,64,White,54271.58991
2011,65,Black African,135149.6611
2011,65,White,51223.1795
2011,66,Black African,120423.1626
2011,66,White,46831.26812
2011,67,Black African,112321.6437
2011,67,White,46844.98197
2011,68,Black African,112095.9954
2011,68,White,42354.35069
2011,69,Black African,121069.3724
2011,69,White,40054.19756
2011,70,Black African,98309.17425
2011,70,White,38808.27678
2011,71,Black African,136160.9737
2011,71,White,36838.41211
2011,72,Black African,93447.37203
2011,72,White,35361.45329
2011,73,Black African,84969.51069
2011,73,White,32472.30408
2011,74,Black African,72965.07236
2011,74,White,29953.79254
2011,75,Black African,77972.96862
2011,75,White,28519.97578
2011,76,Black African,62447.16644
2011,76,White,25383.83553
2011,77,Black African,58886.51999
2011,77,White,22416.18165
2011,78,Black African,57716.90407
2011,78,White,20956.65847
2011,79,Black African,53684.61535
2011,79,White,19645.63255
2011,80,Black African,43930.50988
2011,80,White,19345.74827
2011,81,Black African,66883.06894
2011,81,White,17269.68337
2011,82,Black African,42900.92477
2011,82,White,15318.12818
2011,83,Black African,35734.66081
2011,83,White,13282.98659
2011,84,Black African,28696.20722
2011,84,White,11856.7938
2011,85,Black African,26066.6532
2011,85,White,10343.85335
2011,86,Black African,23836.53618
2011,86,White,8608.8324
2011,87,Black African,19962.28789
2011,87,White,7574.92672
2011,88,Black African,13578.74023
2011,88,White,6132.00261
2011,89,Black African,13470.62516
2011,89,White,5062.78262
2011,90,Black African,13988.02408
2011,90,White,4300.52041
2011,91,Black African,17425.99745
2011,91,White,3345.83665
2011,92,Black African,9503.92977
2011,92,White,2258.21265
2011,93,Black African,12218.43671
2011,93,White,1698.81992
2011,94,Black African,3572.22944
2011,94,White,1165.81442
2011,95,Black African,3329.32429
2011,95,White,982.71264
2011,96,Black African,3026.69507
2011,96,White,769.04882
2011,97,Black African,4286.40669
2011,97,White,586.26049
2011,98,Black African,2173.88202
2011,98,White,435.34615
2011,99,Black African,2168.58697
2011,99,White,321.1029
2011,100,Black African,1546.11519
2011,100,White,182.72988
2011,101,Black African,2093.33744
2011,101,White,129.54703
2011,102,Black African,1180.71155
2011,102,White,114.37023
2011,103,Black African,776.30886
2011,103,White,117.24231
2011,104,Black African,697.24716
2011,104,White,109.28159
2011,105,Black African,726.62309
2011,105,White,83.78704
2011,106,Black African,667.98531
2011,106,White,89.62421
2011,107,Black African,691.67375
2011,107,White,80.01528
2011,108,Black African,636.82325
2011,108,White,99.78481
2011,109,Black African,739.03618
2011,109,White,118.41477
2011,110,Black African,800.13678
2011,110,White,103.55033
2011,111,Black African,870.58988
2011,111,White,94.14434
2011,112,Black African,81.92915
2011,112,White,6.38871
2011,113,Black African,51.6184
2011,113,White,6.02606
2011,114,Black African,49.51013
2011,114,White,4.09334
2011,115,Black African,76.92218
2011,115,White,7.37944
2011,116,Black African,47.23913
2011,116,White,4.51321
2011,117,Black African,58.33586
2011,117,White,3.41862
2011,118,Black African,24.83366
2011,118,White,2.24629
2011,119,Black African,44.35176
2011,119,White,4.33035
2011,120,Black African,50.77253
2011,120,White,2.25639
