province_from,municipality_to,population_group,flow
1,986,Indian or Asian,0
1,986,White,0
1,986,Other,0
1,987,Black African,83.25772
1,987,Coloured,6.04747
1,987,Indian or Asian,0
1,987,White,40.36463
1,987,Other,0
1,860,Black African,39.30413
1,860,Coloured,0
1,860,Indian or Asian,0
1,860,White,36.4833
1,860,Other,1.64183
1,861,Black African,37.83805
1,861,Coloured,19.70196
1,861,Indian or Asian,5.28366
1,861,White,80.31322
1,861,Other,0
1,862,Black African,15.25398
1,862,Coloured,6.49666
1,862,Indian or Asian,0
1,862,White,37.40879
1,862,Other,0
1,863,Black African,12.71853
1,863,Coloured,3.28366
1,863,Indian or Asian,0
1,863,White,81.66754
1,863,Other,0
1,864,Black African,50.76306
1,864,Coloured,45.75926
1,864,Indian or Asian,0
1,864,White,81.3849
1,864,Other,0
1,865,Black African,29.451
1,865,Coloured,1.64183
1,865,Indian or Asian,6.56732
1,865,White,35.90828
1,865,Other,0
1,866,Black African,264.7873
1,866,Coloured,273.48365
1,866,Indian or Asian,22.06013
1,866,White,415.04022
1,866,Other,7.56732
1,867,Black African,51.37352
1,867,Coloured,4.92549
1,867,Indian or Asian,1.64183
1,867,White,96.0239
1,867,Other,0
1,868,Black African,280.06932
1,868,Coloured,118.07044
1,868,Indian or Asian,12.49281
1,868,White,341.72723
1,868,Other,6.56732
1,869,Black African,112.80608
1,869,Coloured,67.03137
1,869,Indian or Asian,6.56732
1,869,White,320.73957
1,869,Other,0
1,870,Black African,9.38226
1,870,Coloured,16.27698
1,870,Indian or Asian,0
1,870,White,39.05062
1,870,Other,1.64183
1,871,Black African,65.04033
1,871,Coloured,2.4235
1,871,Indian or Asian,0
1,871,White,4.26668
1,871,Other,0
1,872,Black African,30.7804
1,872,Coloured,0
1,872,Indian or Asian,5.27708
1,872,White,0
1,872,Other,0
1,873,Black African,11.00019
1,873,Coloured,22.34379
1,873,Indian or Asian,1.64183
1,873,White,152.28084
1,873,Other,0
1,874,Black African,185.41621
