date	week	weekday	value	currency	target	Food/Household	Local Transport	Rent	Sport	Phone/Internet	Fees	Special	category	place
2012-12-21	52	5	7.90	sek	Multiple G-calendar support app							Phone/Internet	Phone/Internet	Stockholm
2012-12-21	52	5	39.75	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2012-12-24	53	1	59.56	sek	Kista Grossen	Food/Household							Food/Household	Stockholm
2012-12-26	53	3	19.85	sek	ICA Stockholm	Food/Household							Food/Household	Stockholm
2012-12-27	53	4	30.00	sek	Phone ad on Blocket							Fees	Fees	Stockholm
2013-01-01	55	2	2050.00	sek	KTH Kista Rent			Rent					Rent	Stockholm
2012-12-30	53	7	137.00	sek	Plastic bindings and lamps from Clas Ohlson							Food/Household	Food/Household	Stockholm
2012-12-31	54	1	80.00	sek	David LaChapelle p? Fotografiska Museet							Other	Other	Stockholm
2012-12-28	53	5	560.00	sek	SL monthly fee		Local Transport						Local Transport	Stockholm
2013-01-02	55	3	274.42	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2013-01-07	56	1	49.60	sek	Kista Grossen	Food/Household							Food/Household	Stockholm
2013-01-09	56	3	11.90	sek	Earth Moon Sun App							Phone/Internet	Phone/Internet	Stockholm
2013-01-10	56	4	638.00	sek	"Initial fees, Kl?ttercentret i Solna"							Sport	Sport	Stockholm
2013-01-16	57	3	875.75	sek (from rur x4.979)	Alisa antagning.se appl fee							Fees	Fees	Stockholm
2013-02-01	59	5	2050.00	sek	KTH Kista Rent			Rent					Rent	Stockholm
2013-01-20	57	7	159.35	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2013-01-26	58	6	85.00	sek	ICA Stockholm	Food/Household							Food/Household	Stockholm
2013-01-26	58	6	66.00	sek	Tea from Kahls							Presents	Presents	Stockholm
2013-01-28	59	1	67.04	sek (from rur x4.979)	Behance							Fees	Fees	Stockholm
2013-01-28	59	1	560.00	sek	SL monthly fee		Local Transport						Local Transport	Stockholm
2013-02-02	59	6	19.97	sek	ICA Stockholm	Food/Household							Food/Household	Stockholm
2013-02-04	60	1	184.08	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2013-02-09	60	6	16.90	sek	Kista Grossen	Food/Household							Food/Household	Stockholm
2013-02-12	61	2	10068.48	sek	FundedByMe							Investment	Investment	Stockholm
2013-01-28	59	1	370.00	sek	K-C SOLNA				Sport				Sport	Stockholm
2013-02-15	61	5	150.60	sek	ICA Stockholm	Food/Household							Food/Household	Stockholm
2013-02-16	61	6	69.80	sek	ICA Stockholm	Food/Household							Food/Household	Stockholm
2013-02-17	61	7	50.00	sek	Comviq Amigos 50					Phone/Internet			Phone/Internet	Stockholm
2013-02-19	62	2	9.90	sek	KISTA GROSSE/13-02-19	Food/Household							Food/Household	Stockholm
2013-02-21	62	4	60.00	sek	Swimming pool i Husby							Sport	Sport	Stockholm
2013-03-01	63	5	2050.00	sek	KTH Kista Rent			Rent					Rent	Stockholm
2013-02-25	63	1	20.00	sek	Foodbar from KC							Food/Household	Food/Household	Stockholm
2013-02-27	63	3	11.90	sek	ICA Stockholm	Food/Household							Food/Household	Stockholm
2013-02-27	63	3	225.06	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2013-02-28	63	4	68.25	sek (from rur x4.979)	Behance							Fees	Fees	Stockholm
2013-02-28	63	4	370.00	sek	K-C SOLNA				Sport				Sport	Stockholm
2013-02-28	63	4	560.00	sek	SL monthly fee		Local Transport						Local Transport	Stockholm
2013-03-01	63	5	69.90	sek	Vitamins							Other	Other	Stockholm
2013-03-16	65	6	50.00	sek	Comviq Amigos 50					Phone/Internet			Phone/Internet	Stockholm
2013-03-17	65	7	200.39	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2013-03-22	66	5	9.40	sek (from rur x4.979)	D3 tips and tricks book from Leanpub							Other	Other	Stockholm
2013-03-23	66	6	113.70	sek	Kista Grossen	Food/Household							Food/Household	Stockholm
2013-03-28	67	4	40.00	sek	NIGHTMARE OU							Unclassified	Unclassified	Stockholm
2013-03-29	67	5	399.00	sek	Shoes and socks							Sport	Sport	Stockholm
2013-04-01	68	1	2050.00	sek	KTH Kista Rent			Rent					Rent	Stockholm
2013-03-30	67	6	251.21	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2013-03-28	67	4	560.00	sek	SL monthly fee		Local Transport						Local Transport	Stockholm
2013-03-28	67	4	69.36	sek (from rur x4.979)	Behance							Fees	Fees	Stockholm
2013-03-28	67	4	370.00	sek	K-C SOLNA				Sport				Sport	Stockholm
2013-04-06	68	6	6.99	sek	ICA Stockholm	Food/Household							Food/Household	Stockholm
2013-04-10	69	3	118.75	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2013-04-13	69	6	13.48	sek	Coop Stockholm	Food/Household							Food/Household	Stockholm
2013-04-13	69	6	24.90	sek	ICA Stockholm	Food/Household							Food/Household	Stockholm
2013-05-01	72	3	2050.00	sek	KTH Kista Rent			Rent					Rent	Stockholm
2013-04-18	70	4	50.00	sek	COMVIQ VESTA/13-04-18					Phone/Internet			Phone/Internet	Stockholm
2013-04-21	70	7	180.12	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2013-04-24	71	3	1380.88	sek (from rur x4.979)	Athina e travel ARN-PUL-ARN							Travels	Travels	Stockholm
2013-04-26	71	5	79.00	sek	Stickers from Clas Ohlson							Other	Other	Stockholm
2013-04-26	71	5	79.50	sek	T-shirt H&M							Other	Other	Stockholm
2013-04-27	71	6	75.00	sek	Train to Stockholm Airport (Paris)							Travels	Travels	Stockholm
2013-04-29	72	1	25.00	sek	Card fee						Fees		Fees	Stockholm
2013-04-30	72	2	68.29	sek (from rur x4.979)	Food in Paris							Food/Household	Food/Household	Paris
2013-04-30	72	2	112.22	sek (from rur x4.979)	Paris Metro							Travels	Travels	Paris
2013-04-28	71	7	370.00	sek	K-C SOLNA				Sport				Sport	Paris
2013-04-28	71	7	69.74	sek (from rur x4.979)	Behance							Fees	Fees	Paris
2013-05-02	72	4	29.83	sek (from rur x4.979)	Food in Paris							Food/Household	Food/Household	Paris
2013-05-03	72	5	75.00	sek	Train from Stockholm Airport (Paris)							Travels	Travels	Stockholm
