geo,time,gender,age,population
zaf,2001,Male,7,488614.1945
zaf,2001,Male,8,472379.9937
zaf,2001,Male,9,503733.9273
zaf,2001,Male,10,530167.0804
zaf,2001,Male,11,525450.0566
zaf,2001,Male,12,488871.9843
zaf,2001,Male,13,491192.2719
zaf,2001,Male,14,483275.0616
zaf,2001,Male,15,497204.9688
zaf,2001,Male,16,509275.0984
zaf,2001,Male,17,483204.9586
zaf,2001,Male,18,486711.1994
zaf,2001,Male,19,476682.504
zaf,2001,Male,20,450843.8146
zaf,2001,Male,21,455537.8231
zaf,2001,Male,22,414312.4391
zaf,2001,Male,23,383991.5188
zaf,2001,Male,24,394607.8
zaf,2001,Male,25,394215.6438
zaf,2001,Male,26,394738.3154
zaf,2001,Male,27,375600.959
zaf,2001,Male,28,360276.8916
zaf,2001,Male,29,374292.6552
zaf,2001,Male,30,322564.7387
zaf,2001,Male,31,357283.7331
zaf,2001,Male,32,321046.0514
zaf,2001,Male,33,317992.0776
zaf,2001,Male,34,275601.7384
zaf,2001,Male,35,288697.8346
zaf,2001,Male,36,295807.2322
zaf,2001,Male,37,285710.7239
zaf,2001,Male,38,290617.8693
zaf,2001,Male,39,280673.2527
zaf,2001,Male,40,257678.9025
zaf,2001,Male,41,269876.5215
zaf,2001,Male,42,239312.7999
zaf,2001,Male,43,247648.2362
zaf,2001,Male,44,219115.9287
zaf,2001,Male,45,208921.3515
zaf,2001,Male,46,189499.4863
zaf,2001,Male,47,187886.2812
zaf,2001,Male,48,185711.5313
zaf,2001,Male,49,195584.965
zaf,2001,Male,50,159010.8787
zaf,2001,Male,51,174943.7074
zaf,2001,Male,52,154010.623
zaf,2001,Male,53,145733.6474
zaf,2001,Male,54,135800.433
zaf,2001,Male,55,120572.1438
zaf,2001,Male,56,113845.5907
zaf,2001,Male,57,102769.8655
zaf,2001,Male,58,101873.529
zaf,2001,Male,59,113261.8859
zaf,2001,Male,60,97544.73609
zaf,2001,Male,61,111028.4236
zaf,2001,Male,62,83516.17203
zaf,2001,Male,63,79656.06427
zaf,2001,Male,64,72764.43051
zaf,2001,Male,65,74812.76173
zaf,2001,Male,66,60870.28974
zaf,2001,Male,67,56327.366
zaf,2001,Male,68,56895.16204
zaf,2001,Male,69,55857.53199
zaf,2001,Male,70,50648.3648
zaf,2001,Male,71,59623.95446
zaf,2001,Male,72,45710.60384
zaf,2001,Male,73,40706.29154
zaf,2001,Male,74,35858.1821
zaf,2001,Male,75,33960.93564
zaf,2001,Male,76,31504.52816
zaf,2001,Male,77,27035.91441
zaf,2001,Male,78,21318.42734
zaf,2001,Male,79,22616.572
